date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2020-01-02,3066.34,3085.2,3098.1,3066.34,292470208,327197122560.0,1.04,1.15,35.08,0.61,000001.SH
2020-01-03,3089.02,3083.79,3093.82,3074.52,261496668,289991708672.0,0.63,-0.05,-1.41,0.55,000001.SH
2020-01-06,3070.91,3083.41,3107.2,3065.31,312575841,331182551040.0,1.36,-0.01,-0.38,0.65,000001.SH
2020-01-07,3085.49,3104.8,3105.45,3084.33,276583112,288159227904.0,0.68,0.69,21.39,0.58,000001.SH
2020-01-08,3094.24,3066.89,3094.24,3059.13,297872553,306517393408.0,1.13,-1.22,-37.91,0.62,000001.SH
2020-01-09,3082.64,3094.88,3097.33,3080.13,243435648,271716020224.0,0.56,0.91,27.99,0.51,000001.SH
2020-01-10,3102.29,3092.29,3105.22,3081.4,210442463,241555668992.0,0.77,-0.08,-2.59,0.44,000001.SH
2020-01-13,3091.49,3115.57,3115.57,3075.38,210621005,258524057600.0,1.3,0.75,23.28,0.44,000001.SH
2020-01-14,3120.67,3106.82,3127.17,3105.6,229973770,271542439936.0,0.69,-0.28,-8.75,0.48,000001.SH
2020-01-15,3103.17,3090.04,3107.94,3082.04,202313024,232913444864.0,0.83,-0.54,-16.78,0.42,000001.SH
2020-01-16,3095.73,3074.08,3096.37,3070.88,203375475,236843360256.0,0.82,-0.52,-15.96,0.43,000001.SH
2020-01-17,3081.46,3075.5,3091.95,3067.25,190304300,242273046528.0,0.8,0.05,1.42,0.4,000001.SH
2020-01-20,3082.11,3095.79,3096.31,3070.48,210493340,271122456576.0,0.84,0.66,20.29,0.44,000001.SH
2020-01-21,3085.79,3052.14,3085.79,3051.23,234830738,286268096512.0,1.12,-1.41,-43.65,0.49,000001.SH
2020-01-22,3038.49,3060.75,3069.25,3006.27,223852864,278456922112.0,2.06,0.28,8.61,0.47,000001.SH
2020-01-23,3037.95,2976.53,3045.04,2955.35,272763233,327490359296.0,2.93,-2.75,-84.22,0.57,000001.SH
2020-02-03,2716.7,2746.61,2766.58,2716.7,215912102,257019596800.0,1.68,-7.72,-229.92,0.45,000001.SH
2020-02-04,2685.27,2783.29,2786.16,2685.27,364046200,374068465664.0,3.67,1.34,36.68,0.76,000001.SH
2020-02-05,2792.37,2818.09,2842.74,2778.86,309761823,349184114688.0,2.3,1.25,34.8,0.65,000001.SH
2020-02-06,2826.89,2866.51,2876.59,2807.61,316392143,358582591488.0,2.45,1.72,48.42,0.66,000001.SH
2020-02-07,2858.93,2875.96,2875.96,2838.77,309479642,362384162816.0,1.3,0.33,9.45,0.65,000001.SH
2020-02-10,2860.5,2890.49,2891.85,2851.05,294929784,341520400384.0,1.42,0.51,14.53,0.62,000001.SH
2020-02-11,2894.54,2901.67,2913.82,2882.24,269168335,302956847104.0,1.09,0.39,11.18,0.56,000001.SH
2020-02-12,2895.56,2926.9,2926.9,2892.42,248733430,297534418944.0,1.19,0.87,25.23,0.52,000001.SH
2020-02-13,2927.14,2906.07,2935.41,2901.24,274804844,334526328832.0,1.17,-0.71,-20.83,0.57,000001.SH
2020-02-14,2899.87,2917.01,2926.94,2899.57,250650627,308080369664.0,0.94,0.38,10.94,0.52,000001.SH
2020-02-17,2924.99,2983.62,2983.64,2924.99,313198008,367014338560.0,2.01,2.28,66.61,0.66,000001.SH
2020-02-18,2981.41,2984.97,2990.6,2960.78,311665912,374998560768.0,1.0,0.05,1.35,0.65,000001.SH
2020-02-19,2979.52,2975.4,2998.27,2971.82,315141151,381331161088.0,0.89,-0.32,-9.57,0.66,000001.SH
2020-02-20,2981.88,3030.15,3031.37,2968.45,345732882,413761363968.0,2.11,1.84,54.75,0.72,000001.SH
2020-02-21,3022.25,3039.67,3058.9,3020.14,364557276,445062078464.0,1.28,0.31,9.52,0.76,000001.SH
2020-02-24,3027.89,3031.23,3042.18,3007.36,370430044,451601362944.0,1.15,-0.28,-8.44,0.77,000001.SH
2020-02-25,2982.07,3013.05,3016.95,2943.72,441622761,513128644608.0,2.42,-0.6,-18.18,0.92,000001.SH
2020-02-26,2978.42,2987.93,3028.78,2974.94,469049551,495341449216.0,1.79,-0.83,-25.12,0.98,000001.SH
2020-02-27,2992.49,2991.33,3009.46,2980.48,350523658,395955642368.0,0.97,0.11,3.4,0.73,000001.SH
2020-02-28,2924.64,2880.3,2948.13,2878.54,401216914,432657776640.0,2.33,-3.71,-111.03,0.84,000001.SH
2020-03-02,2899.31,2970.93,2982.51,2899.31,367333368,397244203008.0,2.89,3.15,90.63,0.77,000001.SH
2020-03-03,3006.89,2992.9,3026.84,2976.62,410108047,447053680640.0,1.69,0.74,21.97,0.86,000001.SH
2020-03-04,2981.81,3011.67,3012.0,2974.36,353338278,389893918720.0,1.26,0.63,18.77,0.74,000001.SH
2020-03-05,3036.15,3071.68,3074.26,3022.93,445425807,482770472960.0,1.7,1.99,60.01,0.93,000001.SH
2020-03-06,3039.94,3034.51,3052.44,3029.46,362061532,377388544000.0,0.75,-1.21,-37.17,0.76,000001.SH
2020-03-09,2987.18,2943.29,2989.21,2940.71,414560737,438143856640.0,1.6,-3.01,-91.22,0.87,000001.SH
2020-03-10,2918.93,2996.76,3000.3,2904.8,393296648,425017184256.0,3.24,1.82,53.47,0.82,000001.SH
2020-03-11,3001.76,2968.52,3010.03,2968.52,352470971,378766618624.0,1.39,-0.94,-28.24,0.74,000001.SH
2020-03-12,2936.02,2923.49,2944.47,2906.28,307778458,328209203200.0,1.29,-1.52,-45.03,0.64,000001.SH
2020-03-13,2804.23,2887.43,2910.88,2799.98,366450437,393019666432.0,3.79,-1.23,-36.06,0.77,000001.SH
2020-03-16,2897.3,2789.25,2898.03,2784.66,351878666,375627001856.0,3.93,-3.4,-98.18,0.74,000001.SH
2020-03-17,2796.28,2779.64,2826.91,2715.22,306149678,323012820992.0,4.0,-0.34,-9.61,0.64,000001.SH
2020-03-18,2792.32,2728.76,2815.87,2728.76,291159852,318611390464.0,3.13,-1.83,-50.88,0.61,000001.SH
2020-03-19,2719.41,2702.13,2736.82,2646.8,302302748,330518007808.0,3.3,-0.98,-26.63,0.63,000001.SH
2020-03-20,2727.02,2745.62,2751.9,2702.49,252019507,281583370240.0,1.83,1.61,43.49,0.53,000001.SH
2020-03-23,2677.59,2660.17,2703.33,2656.5,249820250,268423241728.0,1.71,-3.11,-85.45,0.52,000001.SH
2020-03-24,2703.02,2722.44,2723.41,2667.13,257021929,278999306240.0,2.12,2.34,62.27,0.54,000001.SH
2020-03-25,2775.3,2781.59,2788.64,2757.8,273144466,293191204864.0,1.13,2.17,59.15,0.57,000001.SH
2020-03-26,2761.9,2764.91,2788.5,2753.43,234084022,248279785472.0,1.26,-0.6,-16.68,0.49,000001.SH
2020-03-27,2792.98,2772.2,2805.55,2771.76,240764065,253630726144.0,1.22,0.26,7.29,0.5,000001.SH
2020-03-30,2739.72,2747.21,2759.1,2723.05,239706604,250687143936.0,1.3,-0.9,-24.99,0.5,000001.SH
2020-03-31,2767.31,2750.3,2771.17,2743.12,218598674,224271060992.0,1.02,0.11,3.09,0.46,000001.SH
2020-04-01,2743.54,2734.52,2773.36,2731.08,217253427,225624645632.0,1.54,-0.57,-15.78,0.45,000001.SH
2020-04-02,2720.23,2780.64,2780.64,2719.9,217864599,233111576576.0,2.22,1.69,46.12,0.46,000001.SH
2020-04-03,2773.58,2763.99,2780.59,2754.07,200837404,214062211072.0,0.95,-0.6,-16.65,0.42,000001.SH
2020-04-07,2806.97,2820.76,2823.28,2801.84,270198185,286627794944.0,0.78,2.05,56.77,0.57,000001.SH
2020-04-08,2805.92,2815.37,2823.21,2800.3,243515305,253159669760.0,0.81,-0.19,-5.39,0.51,000001.SH
2020-04-09,2825.84,2825.9,2832.4,2820.43,238184842,247392989184.0,0.43,0.37,10.53,0.5,000001.SH
2020-04-10,2827.19,2796.63,2833.01,2789.98,233454769,246376308736.0,1.52,-1.04,-29.27,0.49,000001.SH
2020-04-13,2784.6,2783.05,2792.89,2774.08,177124554,184120283136.0,0.67,-0.49,-13.58,0.37,000001.SH
2020-04-14,2794.8,2827.28,2827.3,2789.43,202696568,223605698560.0,1.36,1.59,44.23,0.42,000001.SH
2020-04-15,2826.66,2811.17,2829.75,2808.7,205621146,231631630336.0,0.74,-0.57,-16.11,0.43,000001.SH
2020-04-16,2798.43,2819.94,2823.34,2796.84,203003773,222432600064.0,0.94,0.31,8.77,0.42,000001.SH
2020-04-17,2835.56,2838.49,2854.96,2830.02,245736750,280025227264.0,0.88,0.66,18.55,0.51,000001.SH
2020-04-20,2840.41,2852.55,2852.99,2833.26,211847078,233759313920.0,0.7,0.5,14.06,0.44,000001.SH
2020-04-21,2842.24,2827.01,2842.24,2808.02,233235871,248688586752.0,1.2,-0.9,-25.54,0.49,000001.SH
2020-04-22,2814.07,2843.98,2843.98,2808.48,217320000,232796778496.0,1.26,0.6,16.97,0.45,000001.SH
2020-04-23,2850.51,2838.5,2853.64,2835.9,248779036,262662041600.0,0.62,-0.19,-5.48,0.52,000001.SH
2020-04-24,2834.94,2808.53,2834.94,2802.5,235185075,244122292224.0,1.14,-1.06,-29.97,0.49,000001.SH
2020-04-27,2812.24,2815.49,2832.67,2802.96,210130980,225293705216.0,1.06,0.25,6.96,0.44,000001.SH
2020-04-28,2819.99,2810.02,2821.75,2758.25,253872745,270534754304.0,2.26,-0.19,-5.47,0.53,000001.SH
2020-04-29,2801.38,2822.44,2831.76,2800.74,202061806,222720221184.0,1.1,0.44,12.42,0.42,000001.SH
2020-04-30,2832.38,2860.08,2865.59,2832.38,242455278,277440933888.0,1.18,1.33,37.64,0.51,000001.SH
2020-05-06,2831.63,2878.14,2879.26,2830.65,249826616,303890030592.0,1.7,0.63,18.06,0.52,000001.SH
2020-05-07,2876.47,2871.52,2882.02,2864.58,226736957,268607483904.0,0.61,-0.23,-6.62,0.47,000001.SH
2020-05-08,2882.71,2895.34,2903.8,2879.2,226822075,276562718720.0,0.86,0.83,23.82,0.47,000001.SH
2020-05-11,2901.57,2894.8,2914.28,2884.38,225120410,271930642432.0,1.03,-0.02,-0.54,0.47,000001.SH
2020-05-12,2894.62,2891.56,2897.9,2871.23,197082985,238476218368.0,0.92,-0.11,-3.24,0.41,000001.SH
2020-05-13,2882.96,2898.05,2900.26,2875.54,185061309,223866908672.0,0.85,0.22,6.49,0.39,000001.SH
2020-05-14,2887.06,2870.34,2887.06,2869.18,197776202,237336973312.0,0.62,-0.96,-27.71,0.41,000001.SH
2020-05-15,2880.71,2868.46,2884.22,2863.37,188983593,246878191616.0,0.73,-0.07,-1.88,0.4,000001.SH
2020-05-18,2872.52,2875.42,2889.98,2862.27,226022881,289089597440.0,0.97,0.24,6.96,0.47,000001.SH
2020-05-19,2897.69,2898.58,2900.22,2887.58,197222405,256277803008.0,0.44,0.81,23.16,0.41,000001.SH
2020-05-20,2896.47,2883.74,2896.47,2876.18,210519985,269176553472.0,0.7,-0.51,-14.84,0.44,000001.SH
2020-05-21,2890.72,2867.92,2891.52,2864.21,203532037,250569936896.0,0.95,-0.55,-15.82,0.43,000001.SH
2020-05-22,2863.05,2813.77,2863.05,2808.02,209063713,245229604864.0,1.92,-1.89,-54.15,0.44,000001.SH
2020-05-25,2816.24,2817.97,2821.5,2802.47,172885558,202115354624.0,0.68,0.15,4.2,0.36,000001.SH
2020-05-26,2827.9,2846.55,2848.34,2825.9,174562368,207427833856.0,0.8,1.01,28.58,0.37,000001.SH
2020-05-27,2847.32,2836.8,2849.0,2831.93,198149343,227934396416.0,0.6,-0.34,-9.75,0.41,000001.SH
2020-05-28,2838.21,2846.22,2861.92,2820.15,207546020,239234260992.0,1.47,0.33,9.42,0.43,000001.SH
2020-05-29,2835.58,2852.35,2855.38,2829.63,206792804,233798995968.0,0.9,0.22,6.13,0.43,000001.SH
2020-06-01,2871.96,2915.43,2917.15,2871.96,260196050,307416215552.0,1.58,2.21,63.08,0.54,000001.SH
2020-06-02,2916.32,2921.4,2926.36,2909.13,256108050,294402744320.0,0.59,0.2,5.97,0.54,000001.SH
2020-06-03,2930.39,2923.37,2942.76,2922.66,255663980,300447817728.0,0.69,0.07,1.97,0.53,000001.SH
2020-06-04,2931.84,2919.25,2932.97,2910.75,226605873,254345986048.0,0.76,-0.14,-4.12,0.47,000001.SH
2020-06-05,2923.19,2930.8,2930.8,2909.12,217360673,253141143552.0,0.74,0.4,11.55,0.45,000001.SH
2020-06-08,2941.98,2937.77,2950.07,2934.21,231124360,274611814400.0,0.54,0.24,6.97,0.48,000001.SH
2020-06-09,2939.54,2956.11,2957.12,2932.94,209048586,251414695936.0,0.82,0.62,18.34,0.44,000001.SH
2020-06-10,2951.28,2943.75,2951.33,2934.84,207925970,243968495616.0,0.56,-0.42,-12.36,0.43,000001.SH
2020-06-11,2939.79,2920.9,2952.65,2912.19,233722947,289023254528.0,1.37,-0.78,-22.85,0.49,000001.SH
2020-06-12,2876.8,2919.74,2930.26,2872.62,236008643,274321727488.0,1.97,-0.04,-1.16,0.49,000001.SH
2020-06-15,2908.28,2890.03,2922.54,2890.03,243205046,293361557504.0,1.11,-1.02,-29.71,0.51,000001.SH
2020-06-16,2912.83,2931.75,2931.78,2909.13,223313065,270948556800.0,0.78,1.44,41.72,0.47,000001.SH
2020-06-17,2932.67,2935.87,2936.62,2919.04,234654392,278007111680.0,0.6,0.14,4.12,0.49,000001.SH
2020-06-18,2929.88,2939.32,2942.9,2920.11,258691377,289367728128.0,0.78,0.12,3.45,0.54,000001.SH
2020-06-19,2938.79,2967.63,2973.32,2935.82,264313961,319089106944.0,1.28,0.96,28.31,0.55,000001.SH
2020-06-22,2966.9,2965.27,2983.44,2959.04,267883835,346028748800.0,0.82,-0.08,-2.36,0.56,000001.SH
2020-06-23,2960.89,2970.62,2972.4,2949.85,225212209,305378770944.0,0.76,0.18,5.35,0.47,000001.SH
2020-06-24,2972.98,2979.55,2982.94,2971.22,213200732,297008783360.0,0.39,0.3,8.93,0.45,000001.SH
2020-06-29,2973.08,2961.52,2977.91,2951.77,220622730,293886017536.0,0.88,-0.61,-18.03,0.46,000001.SH
2020-06-30,2965.11,2984.67,2990.83,2965.11,214957215,297312329728.0,0.87,0.78,23.15,0.45,000001.SH
2020-07-01,2991.18,3025.98,3026.19,2984.98,273313139,369883803648.0,1.38,1.38,41.31,0.57,000001.SH
2020-07-02,3023.72,3090.57,3092.44,3021.67,391127995,478216482816.0,2.34,2.13,64.59,0.82,000001.SH
2020-07-03,3104.0,3152.81,3152.81,3104.0,458793851,535489335296.0,1.58,2.01,62.24,0.96,000001.SH
2020-07-06,3187.84,3332.88,3337.27,3187.84,643878907,724153675776.0,4.74,5.71,180.07,1.35,000001.SH
2020-07-07,3380.95,3345.34,3407.08,3336.24,657840159,793638371328.0,2.13,0.37,12.46,1.38,000001.SH
2020-07-08,3337.55,3403.44,3421.53,3327.71,587081684,696807632896.0,2.8,1.74,58.1,1.23,000001.SH
