date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2020-01-02,1811.22,1832.74,1839.41,1797.54,104308810,140075524096.0,2.33,1.93,34.62,1.92,399006.SZ
2020-01-03,1836.86,1836.01,1842.56,1821.67,102278948,139125092352.0,1.14,0.18,3.27,1.88,399006.SZ
2020-01-06,1825.55,1859.92,1876.46,1824.35,123882598,160826208256.0,2.84,1.3,23.91,2.28,399006.SZ
2020-01-07,1866.26,1893.21,1893.21,1866.26,117716465,154495664128.0,1.45,1.79,33.29,2.17,399006.SZ
2020-01-08,1881.01,1862.7,1892.58,1858.28,124252641,157851979776.0,1.81,-1.61,-30.51,2.29,399006.SZ
2020-01-09,1884.42,1913.14,1913.78,1884.42,111039941,151693676544.0,1.58,2.71,50.44,2.04,399006.SZ
2020-01-10,1917.61,1904.19,1917.83,1894.67,101909878,142241583104.0,1.21,-0.47,-8.95,1.88,399006.SZ
2020-01-13,1905.4,1935.07,1935.07,1893.57,97008284,141704810496.0,2.18,1.62,30.88,1.79,399006.SZ
2020-01-14,1941.12,1922.56,1945.77,1922.13,104559053,147347083264.0,1.22,-0.65,-12.51,1.93,399006.SZ
2020-01-15,1920.66,1924.24,1928.69,1902.61,96262134,134073348096.0,1.36,0.09,1.68,1.77,399006.SZ
2020-01-16,1924.52,1929.96,1936.03,1917.56,90789901,131290345472.0,0.96,0.3,5.72,1.67,399006.SZ
2020-01-17,1935.3,1932.51,1949.04,1928.35,87891983,128495017984.0,1.07,0.13,2.55,1.62,399006.SZ
2020-01-20,1940.12,1982.18,1982.18,1935.83,96129784,148823158784.0,2.4,2.57,49.67,1.77,399006.SZ
2020-01-21,1979.37,1967.03,1987.66,1959.44,97771049,144546480128.0,1.42,-0.76,-15.15,1.8,399006.SZ
2020-01-22,1958.08,1993.9,2004.39,1928.03,104920753,156071030784.0,3.88,1.37,26.87,1.93,399006.SZ
2020-01-23,1973.33,1927.74,1996.55,1904.28,115766356,171066183680.0,4.63,-3.32,-66.16,2.13,399006.SZ
2020-02-03,1769.16,1795.77,1830.81,1769.16,55016177,86251839488.0,3.2,-6.85,-131.97,1.01,399006.SZ
2020-02-04,1786.16,1882.69,1886.8,1786.16,137879859,179446927360.0,5.6,4.84,86.92,2.54,399006.SZ
2020-02-05,1908.97,1939.62,1966.26,1901.8,128392845,185062400000.0,3.42,3.02,56.93,2.36,399006.SZ
2020-02-06,1934.98,2012.25,2014.88,1918.66,139859249,199165161472.0,4.96,3.74,72.63,2.58,399006.SZ
2020-02-07,2014.16,2015.8,2025.32,1976.79,150570022,206543368192.0,2.41,0.18,3.55,2.77,399006.SZ
2020-02-10,2019.31,2042.18,2043.68,2007.23,140850194,198346448896.0,1.81,1.31,26.38,2.59,399006.SZ
2020-02-11,2044.22,2028.44,2046.81,2015.76,114694177,166312968192.0,1.52,-0.67,-13.74,2.11,399006.SZ
2020-02-12,2024.38,2085.28,2086.94,2022.68,125141581,183951409152.0,3.17,2.8,56.84,2.3,399006.SZ
2020-02-13,2080.82,2064.6,2093.37,2052.57,132454669,199479496704.0,1.96,-0.99,-20.68,2.44,399006.SZ
2020-02-14,2063.31,2069.22,2104.01,2049.26,120465864,189243891712.0,2.65,0.22,4.62,2.22,399006.SZ
2020-02-17,2089.21,2146.18,2146.18,2089.21,137288266,209062117376.0,2.75,3.72,76.96,2.53,399006.SZ
2020-02-18,2149.3,2170.95,2170.95,2134.34,151987308,232264024064.0,1.71,1.15,24.77,2.8,399006.SZ
2020-02-19,2168.85,2139.44,2171.95,2137.41,153374702,239314604032.0,1.59,-1.45,-31.51,2.82,399006.SZ
2020-02-20,2151.42,2186.74,2190.5,2140.06,149959191,231845613568.0,2.36,2.21,47.3,2.76,399006.SZ
2020-02-21,2191.98,2226.64,2247.42,2189.25,171554383,265897598976.0,2.66,1.82,39.9,3.16,399006.SZ
2020-02-24,2223.19,2263.97,2271.7,2213.82,174379830,280513036288.0,2.6,1.68,37.33,3.21,399006.SZ
