2026-01-12 20:41:10,893 - INFO - 🚀 开始批量下载A股数据...
2026-01-12 20:41:10,893 - INFO - 数据路径: ./data
2026-01-12 20:41:10,893 - INFO - 时间范围: 20150101 至 20260112
2026-01-12 20:41:16,975 - INFO - 获取到 5470 只待下载股票
2026-01-12 20:41:34,022 - INFO - 获取到 1342 只待下载ETF
2026-01-12 20:41:34,022 - INFO - 总计需要下载: 6812 个标的 (股票: 5470, ETF: 1342)
2026-01-12 20:41:34,023 - INFO - 开始下载股票，共 5470 个标的
2026-01-12 20:41:34,023 - INFO - 下载批次 1/55，本批 100 个标的
2026-01-12 20:41:34,660 - ERROR - ❌ 下载 000002.SZ (万  科Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:34,686 - ERROR - ❌ 下载 000006.SZ (深振业Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:34,701 - ERROR - ❌ 下载 000010.SZ (美丽生态) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:34,718 - ERROR - ❌ 下载 000004.SZ (*ST国华) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:34,720 - ERROR - ❌ 下载 000001.SZ (平安银行) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:34,721 - ERROR - ❌ 下载 000007.SZ (全新好) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:34,727 - ERROR - ❌ 下载 000008.SZ (神州高铁) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:34,727 - ERROR - ❌ 下载 000009.SZ (中国宝安) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:34,881 - ERROR - ❌ 下载 000011.SZ (深物业A) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:34,943 - ERROR - ❌ 下载 000012.SZ (南  玻Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,195 - ERROR - ❌ 下载 000021.SZ (深科技) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,220 - ERROR - ❌ 下载 000017.SZ (深中华A) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,251 - ERROR - ❌ 下载 000019.SZ (深粮控股) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,258 - ERROR - ❌ 下载 000020.SZ (深华发Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,266 - ERROR - ❌ 下载 000025.SZ (特  力Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,273 - ERROR - ❌ 下载 000016.SZ (深康佳Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,287 - ERROR - ❌ 下载 000014.SZ (沙河股份) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,288 - ERROR - ❌ 下载 000026.SZ (飞亚达) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,405 - ERROR - ❌ 下载 000027.SZ (深圳能源) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,447 - ERROR - ❌ 下载 000028.SZ (国药一致) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,513 - ERROR - ❌ 下载 000029.SZ (深深房Ａ) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
2026-01-12 20:41:35,570 - ERROR - ❌ 下载 000030.SZ (富奥股份) 失败: Length mismatch: Expected axis has 12 elements, new values have 11 elements
