symbol,symbol_type,total_return,annual_return,max_drawdown,sharpe_ratio,final_value,dca_buy_count,dca_sell_count,t_buy_count,t_sell_count,t_profit,data_points,start_date,end_date,data_start_date,data_end_date,annual_returns
159001.SZ,etf,0.0,0.0,0.0,0.0,500000.0,0,0,0,0,0.0,0,,,2015-01-05,2026-01-21,"[{""year"": 2015, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2016, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2017, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2018, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2019, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2020, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2021, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2022, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2023, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2024, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2025, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2026, ""return"": 0.0, ""profit"": 0.0}]"
159003.SZ,etf,0.0,0.0,0.0,0.0,500000.0,0,0,0,0,0.0,0,,,2015-01-05,2026-01-21,"[{""year"": 2015, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2016, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2017, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2018, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2019, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2020, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2021, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2022, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2023, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2024, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2025, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2026, ""return"": 0.0, ""profit"": 0.0}]"
159005.SZ,etf,0.0,0.0,0.0,0.0,500000.0,0,0,0,0,0.0,0,,,2015-01-13,2026-01-21,"[{""year"": 2015, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2016, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2017, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2018, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2019, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2020, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2021, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2022, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2023, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2024, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2025, ""return"": 0.0, ""profit"": 0.0}, {""year"": 2026, ""return"": 0.0, ""profit"": 0.0}]"
159100.SZ,etf,0.000527,0.00279090665693138,-0.001459222202396474,0.5025167498699835,500263.5,10,0,1,1,-30.0,0,,,2025-11-13,2026-01-21,"[{""year"": 2025, ""return"": -0.00024439999999990684, ""profit"": -122.19999999995343}, {""year"": 2026, ""return"": 0.0007295476604463812, ""profit"": 364.69999999995343}]"
159101.SZ,etf,-0.0019608000000000464,-0.005104034089944309,-0.003140144570200973,-0.9101715021774799,499019.6,19,0,1,1,-190.0,0,,,2025-09-03,2026-01-21,"[{""year"": 2025, ""return"": -0.0027371999999999536, ""profit"": -1368.5999999999767}, {""year"": 2026, ""return"": -0.0003129158104219228, ""profit"": -156.20000000001164}]"
159102.SZ,etf,-0.0019395999999998602,-0.005564315567022526,-0.003930074237624349,-0.9056068146037916,499030.20000000007,17,0,3,3,-640.9000000000005,0,,,2025-09-16,2026-01-21,"[{""year"": 2025, ""return"": -0.0038981999999999533, ""profit"": -1949.0999999999767}, {""year"": 2026, ""return"": 0.0008616114782052707, ""profit"": 429.6000000000349}]"
159103.SZ,etf,-0.0008824000000002561,-0.002419760757208622,-0.003011007897696197,-0.2794836121022353,499558.7999999999,18,0,3,3,-526.6999999999998,0,,,2025-09-10,2026-01-21,"[{""year"": 2025, ""return"": -0.0016102000000003027, ""profit"": -805.1000000001513}, {""year"": 2026, ""return"": 0.0006371676027214463, ""profit"": 318.0999999999767}]"
159105.SZ,etf,-0.0008893999999999069,-0.00410264270591465,-0.0024266597822984056,-0.7468936223784634,499555.30000000005,12,0,2,2,-452.0,0,,,2025-11-03,2026-01-21,"[{""year"": 2025, ""return"": -0.002276822768227729, ""profit"": -1138.4000000000233}, {""year"": 2026, ""return"": 0.0005457828709500908, ""profit"": 272.5}]"
159106.SZ,etf,0.0007846000000000931,0.003150741230430576,-0.0012935686956374258,0.8318778314794603,500392.30000000005,13,0,2,2,-291.1999999999998,0,,,2025-10-22,2026-01-21,"[{""year"": 2025, ""return"": -9.379999999993015e-05, ""profit"": -46.899999999965075}, {""year"": 2026, ""return"": 0.0006747259150944526, ""profit"": 337.3999999999651}]"
159107.SZ,etf,0.0016998000000002793,0.005136288677442202,-0.0040807147156474615,0.4112515888547206,500849.90000000014,17,0,1,1,49.19999999999982,0,,,2025-09-22,2026-01-21,"[{""year"": 2025, ""return"": -0.0008278082780825946, ""profit"": -413.89999999990687}, {""year"": 2026, ""return"": 0.0017937682554624553, ""profit"": 896.8000000000466}]"
159108.SZ,etf,0.003711600000000093,0.023588144322274296,-0.0012297814122261698,2.4981793331769864,501855.80000000005,9,0,1,1,978.0,0,,,2025-11-24,2026-01-21,"[{""year"": 2025, ""return"": 0.0005644056440564639, ""profit"": 282.20000000001164}, {""year"": 2026, ""return"": 0.002653800240746106, ""profit"": 1328.3000000000466}]"
159109.SZ,etf,-0.000562,-0.001990130293721526,-0.0014057104236527276,-0.5298170253353245,499719.0,15,0,0,0,0.0,0,,,2025-10-10,2026-01-21,"[{""year"": 2025, ""return"": -0.001154, ""profit"": -577.0}, {""year"": 2026, ""return"": -4.602374825409911e-05, ""profit"": -23.0}]"
159117.SZ,etf,-0.000225,-0.0008551991132897951,-0.0015120310071262872,-0.2988310244734426,499887.5,14,0,3,3,1.300000000000182,0,,,2025-10-17,2026-01-21,"[{""year"": 2025, ""return"": -0.000598, ""profit"": -299.0}, {""year"": 2026, ""return"": 0.0003832330056674458, ""profit"": 191.5}]"
159118.SZ,etf,-0.00021039999999990686,-0.0013954632539021627,-0.00042879571204292613,-0.9070129795785293,499894.80000000005,8,0,1,1,-95.0,0,,,2025-11-27,2026-01-21,"[{""year"": 2025, ""return"": -0.00040879999999993014, ""profit"": -204.39999999996508}, {""year"": 2026, ""return"": 0.00020848731448744705, ""profit"": 104.20000000006985}]"
159119.SZ,etf,0.0019160000000001164,0.010177103040656998,-0.0004638296817408648,2.830878880315977,500958.00000000006,10,0,1,0,0.0,0,,,2025-11-13,2026-01-21,"[{""year"": 2025, ""return"": 0.0006532000000001863, ""profit"": 326.60000000009313}, {""year"": 2026, ""return"": 0.0011783318051259365, ""profit"": 589.5999999999767}]"
159120.SZ,etf,0.00010880000000004657,0.0005756705597161904,-0.0006559987911393624,0.17254615045786578,500054.4,10,0,0,0,0.0,0,,,2025-11-13,2026-01-21,"[{""year"": 2025, ""return"": -0.0003928000000000466, ""profit"": -196.40000000002328}, {""year"": 2026, ""return"": -1.8797601425988194e-05, ""profit"": -9.399999999965075}]"
159121.SZ,etf,-0.00029,-0.0018235998936466657,-0.0005019839365140316,-0.7586028381406961,499855.0,9,0,0,0,0.0,0,,,2025-11-24,2026-01-21,"[{""year"": 2025, ""return"": -0.00023600236002360023, ""profit"": -118.0}, {""year"": 2026, ""return"": -3.400870622879457e-05, ""profit"": -17.0}]"
159122.SZ,etf,0.0005104000000000232,0.002360356879699488,-0.0008641208465305277,0.5213857647063633,500255.2,12,0,2,2,131.39999999999964,0,,,2025-11-03,2026-01-21,"[{""year"": 2025, ""return"": -0.00011360113601145325, ""profit"": -56.800000000046566}, {""year"": 2026, ""return"": 0.00032714006793962334, ""profit"": 163.60000000003492}]"
159123.SZ,etf,0.0010214000000001396,0.006797924156690449,-0.0004209925078112051,2.350000731515695,500510.70000000007,8,0,1,1,115.99999999999909,0,,,2025-11-27,2026-01-21,"[{""year"": 2025, ""return"": 0.0002075999999998603, ""profit"": 103.79999999993015}, {""year"": 2026, ""return"": 0.0007117797753377434, ""profit"": 356.0000000001164}]"
159125.SZ,etf,-0.00028479999999993016,-0.0013670490199175767,-0.0007955793149376719,-0.39424282237870045,499857.60000000003,11,0,0,0,0.0,0,,,2025-11-06,2026-01-21,"[{""year"": 2025, ""return"": -0.0007695999999998603, ""profit"": -384.79999999993015}, {""year"": 2026, ""return"": -0.00012141984000187957, ""profit"": -60.70000000001164}]"
159126.SZ,etf,-0.00011380000000004657,-0.0005256765132140018,-0.0006133470068185178,-0.16967484286510018,499943.1,12,0,0,0,0.0,0,,,2025-11-03,2026-01-21,"[{""year"": 2025, ""return"": -0.00048380483804842705, ""profit"": -241.90000000002328}, {""year"": 2026, ""return"": -6.760312326427153e-05, ""profit"": -33.79999999998836}]"
159127.SZ,etf,-0.0007627999999999302,-0.0044823153402359095,-0.0007767891249521808,-3.059291917707942,499618.60000000003,9,0,1,1,-105.39999999999873,0,,,2025-11-20,2026-01-21,"[{""year"": 2025, ""return"": -0.0006247999999999302, ""profit"": -312.3999999999651}, {""year"": 2026, ""return"": -0.00010326811564915201, ""profit"": -51.600000000034925}]"
159128.SZ,etf,-0.00023039999999990686,-0.0012181804490882797,-0.0007600716490475184,-0.3584644889160596,499884.80000000005,10,0,0,0,0.0,0,,,2025-11-13,2026-01-21,"[{""year"": 2025, ""return"": -0.00059, ""profit"": -295.0}, {""year"": 2026, ""return"": -0.00017640952611431705, ""profit"": -88.19999999995343}]"
159129.SZ,etf,0.00325020000000007,0.01757020793110131,-0.0003967186726720324,3.9922927217356863,501625.10000000003,10,0,2,1,57.600000000000364,0,,,2025-11-14,2026-01-21,"[{""year"": 2025, ""return"": 0.0011215999999998603, ""profit"": 560.7999999999302}, {""year"": 2026, ""return"": 0.001975286645272718, ""profit"": 988.9000000000815}]"
159130.SZ,etf,-0.0006707999999999301,-0.004443265842331678,-0.0015407999999999301,-1.0900134964777068,499664.60000000003,8,0,2,2,-450.4999999999991,0,,,2025-11-27,2026-01-21,"[{""year"": 2025, ""return"": -0.0015407999999999301, ""profit"": -770.3999999999651}, {""year"": 2026, ""return"": 0.00035396259928668596, ""profit"": 176.79999999998836}]"
159131.SZ,etf,-0.0001305999999998603,-0.00069066157264841,-0.001356845591931341,-0.1486358966417367,499934.70000000007,10,0,1,1,-253.80000000000018,0,,,2025-11-13,2026-01-21,"[{""year"": 2025, ""return"": -0.0007958000000000466, ""profit"": -397.9000000000233}, {""year"": 2026, ""return"": 0.00024629280312840504, ""profit"": 123.10000000009313}]"
159132.SZ,etf,-9.019999999995343e-05,-0.0025294482269075935,-0.00015039311199549387,-3.4088947236602096,499954.9,2,0,0,0,0.0,0,,,2026-01-08,2026-01-21,"[{""year"": 2026, ""return"": -9.019999999995343e-05, ""profit"": -45.09999999997672}]"
159133.SZ,etf,0.0018826000000000931,0.012116732196296276,-0.00023852102580814493,4.299395044370158,500941.30000000005,8,0,0,0,0.0,0,,,2025-11-25,2026-01-21,"[{""year"": 2025, ""return"": 0.0006286000000000931, ""profit"": 314.30000000004657}, {""year"": 2026, ""return"": 0.0011281498262909072, ""profit"": 564.5}]"
159136.SZ,etf,-0.00014619999999983702,-0.0019745998045188617,-0.0002053878410397173,-3.072711553782647,499926.9000000001,4,0,0,0,0.0,0,,,2025-12-25,2026-01-21,"[{""year"": 2025, ""return"": -1.8999999999883585e-05, ""profit"": -9.499999999941792}, {""year"": 2026, ""return"": -0.00016579675038362263, ""profit"": -82.89999999996508}]"
159137.SZ,etf,-2.1799999999813735e-05,-0.0008837300284638694,-0.00016478296144183346,-0.3728944199564982,499989.1000000001,2,0,0,0,0.0,0,,,2026-01-12,2026-01-21,"[{""year"": 2026, ""return"": -1.180011800111016e-05, ""profit"": -5.899999999965075}]"
159138.SZ,etf,4.400000000139698e-06,0.0002007697098980188,-1.539999999990687e-05,0.8164307611305374,500002.20000000007,1,0,0,0,0.0,0,,,2026-01-13,2026-01-21,"[{""year"": 2026, ""return"": 4.400000000139698e-06, ""profit"": 2.200000000069849}]"
159139.SZ,etf,0.0004786000000000931,0.0053063688726096014,-0.0005669104161645072,1.6259526690563186,500239.30000000005,5,0,0,0,0.0,0,,,2025-12-19,2026-01-21,"[{""year"": 2025, ""return"": 2.5000000000116414e-05, ""profit"": 12.500000000058208}, {""year"": 2026, ""return"": 0.0003123480877478396, ""profit"": 156.20000000001164}]"
159140.SZ,etf,0.0005074000000001397,0.005460561590183266,-0.0005217738151477407,1.7797337262739195,500253.70000000007,5,0,0,0,0.0,0,,,2025-12-18,2026-01-21,"[{""year"": 2025, ""return"": 2.8600000000093134e-05, ""profit"": 14.300000000046566}, {""year"": 2026, ""return"": 0.0003339420944408239, ""profit"": 167.0}]"
159141.SZ,etf,0.0008052000000000699,0.007191092128598031,-0.000661990253521706,1.9718683536177182,500402.60000000003,6,0,0,0,0.0,0,,,2025-12-11,2026-01-21,"[{""year"": 2025, ""return"": 0.000108, ""profit"": 54.0}, {""year"": 2026, ""return"": 0.00046104140175786513, ""profit"": 230.60000000003492}]"
159142.SZ,etf,0.0007778000000000466,0.007119893009585931,-0.000812306310783301,1.7034680155100825,500388.9,6,0,0,0,0.0,0,,,2025-12-12,2026-01-21,"[{""year"": 2025, ""return"": 0.00012400000000011642, ""profit"": 62.00000000005821}, {""year"": 2026, ""return"": 0.00045485317339551145, ""profit"": 227.4999999999418}]"
